Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
697ce910472ad0b86d655734,6978e5e608d30e767c6a1e07,APPROVED,Not Applicable,2026-01-30T17:26:39.541000Z,2026-01-30T18:13:55.679000Z,2026-01-30T18:13:58.018000Z,2026-01-30T18:13:56.197031Z,2837.0,CO8XZAGN,9,20,Female,White,Moldova,United Kingdom,Moldova,Romanian,No,Unemployed (and job seeking)
697ce910f5e02ab895f34411,5ecf78094e019f1f9aa28dd1,APPROVED,Not Applicable,2026-01-30T17:23:28.067000Z,2026-01-30T17:57:51.492000Z,2026-01-30T17:57:51.974000Z,2026-01-30T17:57:51.897476Z,2064.0,CO8XZAGN,540,43,Male,White,South Africa,South Africa,South Africa,English,No,Other
697ce91134b80eed23535b0a,682b23f345fc428cc9586a06,APPROVED,Not Applicable,2026-01-30T17:23:29.891000Z,2026-01-30T18:06:45.178000Z,2026-01-30T18:06:45.657000Z,2026-01-30T18:06:45.574504Z,2596.0,CO8XZAGN,939,27,Female,White,Morocco,Morocco,Morocco,Arabic,No,Full-Time
697ce912c8aa106c59420809,691255716ab5f263a9bbb555,APPROVED,Not Applicable,2026-01-30T17:23:56.412000Z,2026-01-30T17:57:36.156000Z,2026-01-30T17:57:36.613000Z,2026-01-30T17:57:36.535725Z,2020.0,CO8XZAGN,241,30,Male,Mixed,Brazil,Brazil,Brazil,Portuguese,No,Other
697ce91328e515144c1598f9,66c3366a3b5834b89124e85a,APPROVED,Not Applicable,2026-01-30T17:23:35.832000Z,2026-01-30T17:56:28.390000Z,2026-01-30T17:56:28.836000Z,2026-01-30T17:56:28.758499Z,1973.0,CO8XZAGN,6936,49,Female,White,United States,United States,United States,English,No,Full-Time
697ce91b1fefa25ec3ce2ddf,66656db67864801db6a0e2c6,APPROVED,Not Applicable,2026-01-30T17:23:42.845000Z,2026-01-30T18:05:25.245000Z,2026-01-30T18:05:28.635000Z,2026-01-30T18:05:25.612620Z,2503.0,CO8XZAGN,1741,45,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
697ce9270b26e92702c050ca,5424b0a6fdf99b691e6ac9c2,APPROVED,Not Applicable,2026-01-30T17:24:42.437000Z,2026-01-30T17:57:03.522000Z,2026-01-30T17:57:04.056000Z,2026-01-30T17:57:03.977231Z,1942.0,CO8XZAGN,1190,35,Male,White,United States,United States,United States,English,No,Part-Time
697ce9289ac75c3b4e958b5a,673231ca547cd8ac8dfbffd6,APPROVED,Not Applicable,2026-01-30T17:23:52.584000Z,2026-01-30T18:32:27.196000Z,2026-01-30T18:32:30.727000Z,2026-01-30T18:32:27.591565Z,4115.0,CO8XZAGN,247,22,Female,Black,South Africa,South Africa,South Africa,English,DATA_EXPIRED,DATA_EXPIRED
697ce941530402c9187a6340,5c9034a2eedbd9001573ca14,APPROVED,Not Applicable,2026-01-30T17:24:25.652000Z,2026-01-30T19:14:14.341000Z,2026-01-30T19:14:14.839000Z,2026-01-30T19:14:14.761849Z,6589.0,CO8XZAGN,2604,61,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
697ce96d35e9d956ef5950a0,665ca8474fa57fdf6f53a4e6,APPROVED,Not Applicable,2026-01-30T17:31:30.283000Z,2026-01-30T18:35:28.550000Z,2026-01-30T18:35:29.029000Z,2026-01-30T18:35:28.937837Z,3839.0,CO8XZAGN,682,32,Female,Other,South Africa,South Africa,South Africa,English,No,Full-Time
